Feature,protein_description,Pearson: Relative FoC change,Pearson p-value: Relative FoC change,Spearman: Relative FoC change,Spearman p-value: Relative FoC change,Pearson: Only last FoC measurment for each sample,Pearson p-value: Only last FoC measurment for each sample,Spearman: Only last FoC measurment for each sample,Spearman p-value: Only last FoC measurment for each sample,Pearson: Enrichment with 'Epinephrine 1uM',Pearson p-value: Enrichment with 'Epinephrine 1uM',Spearman: Enrichment with 'Epinephrine 1uM',Spearman p-value: Enrichment with 'Epinephrine 1uM',Pearson: Enrichment with 'DMSO',Pearson p-value: Enrichment with 'DMSO',Spearman: Enrichment with 'DMSO',Spearman p-value: Enrichment with 'DMSO',Pearson: Enrichment with 'Not treated',Pearson p-value: Enrichment with 'Not treated',Spearman: Enrichment with 'Not treated',Spearman p-value: Enrichment with 'Not treated',Pearson: Enrichment with 'Doxorubicin 5 uM',Pearson p-value: Enrichment with 'Doxorubicin 5 uM',Spearman: Enrichment with 'Doxorubicin 5 uM',Spearman p-value: Enrichment with 'Doxorubicin 5 uM'
4701.Q969Q0.RL36L_HUMAN.RPL36AL,Ribosomal protein eL42-like,-0.17532591262125885,0.4471564596754385,-0.4116883116883117,0.06369892951455668,-0.0919762700924219,0.6917203654254821,-0.11948051948051949,0.6059550557298752,-0.5996487928439483,0.004063136987404747,-0.5918640302493726,0.004706924887254327,0.5026637186176948,0.020210675642482974,0.557667587072513,0.008621510203883265,0.42286969352927417,0.05614822584513905,0.44179831630007393,0.0449481280048187,-0.2753822961949257,0.22696274156275711,-0.2921532737340716,0.19876036399538635
4702.Q969Q1.TRI63_HUMAN.TRIM63,E3 ubiquitin-protein ligase TRIM63,0.4535625549049115,0.03891347295073517,0.4324675324675325,0.05022991747689415,0.23337425598099262,0.3086227161087105,0.0961038961038961,0.6785829571667291,0.19986071825614404,0.3850622266650591,0.1044465935734187,0.6523052872857501,-0.342240361027304,0.12886420517479977,-0.3573258801885539,0.11178406905668015,0.4099562830023292,0.06493422453597224,0.3595685112357624,0.10939238389091063,-0.34426793747000867,0.12646644492036505,-0.20225995873897262,0.37926329417822147
4703.Q969Q5.RAB24_HUMAN.RAB24,Ras-related protein Rab-24,-0.6173299562560162,0.0028686446092351533,-0.33896103896103896,0.1328105963995839,-0.2751178225718155,0.2274274146907084,-0.025974025974025972,0.9110154373730974,-0.022308358769309554,0.9235353702346351,0.06963106238227913,0.7642421396886622,-0.07736513212611953,0.7388908104829719,-0.3162109776563981,0.1625735330693699,-0.48098889179241616,0.02728997836831916,-0.3184536087036066,0.15945066225139198,0.6675942452498542,0.0009443016168817015,0.5843065474681431,0.0054107389286265056
4704.Q969Q6.P2R3C_HUMAN.PPP2R3C,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,-0.1113021959115,0.6310028564348936,-0.0928124399468404,0.6890519661713423,-0.3842822617069317,0.08544515773276008,-0.44183950284552187,0.04492580821649621,-0.29018680876310876,0.20193913034742503,-0.29787257372144654,0.18970674112510963,0.10084894485409913,0.6635907232206006,0.011286684910690702,0.9612729197468707,0.12357719037721213,0.593564102945708,0.22648614387452679,0.3235229308279066,0.11961226508175007,0.6055549230037017,0.09048278567177283,0.6964951400089268
4705.Q969R2;Q969R2-2;Q969R2-3.OSBP2_HUMAN.OSBP2,Oxysterol-binding protein 2;Isoform 2 of Oxysterol-binding protein 2;Isoform 3 of Oxysterol-binding protein 2,0.5437013406002458,0.01084634131718602,0.5164014562710731,0.016544597408435287,0.49800061952111285,0.02159328789006686,0.4546931061506304,0.03836860424675419,0.46660187119602353,0.03298349934184304,0.5398160268677943,0.011542175994037042,0.227720484696871,0.32082169829653645,0.12637592013204202,0.5851607798934639,-0.34228144852250003,0.12881529661931246,-0.38697951874752506,0.08308910192138783,-0.46523436595026024,0.033569820615718796,-0.4158916335310131,0.060775210112191794
4706.Q969S3.ZN622_HUMAN.ZNF622,Cytoplasmic 60S subunit biogenesis factor ZNF622,0.331109502714786,0.14260674481130375,0.3090909090909091,0.17276827264194702,0.27568282464175764,0.22643547617918314,0.24155844155844156,0.29147075442919895,-0.04883416433827317,0.833505375141853,-0.017407765595569783,0.9402998619287342,-0.1461366697464973,0.5273324001018272,-0.04111490253215578,0.859548233867296,0.5197718764171955,0.015732576028000444,0.4687098888665759,0.032095470877363225,-0.36935920844930814,0.09938472967293803,-0.42699324622672,0.05354353138875994
4708.Q969S9-3.RRF2M_HUMAN.GFM2,"Isoform 3 of Ribosome-releasing factor 2, mitochondrial",-0.30196677426454194,0.18339972051483394,-0.5610389610389611,0.008144816154898505,-0.13033914860167,0.5733487649610923,-0.37272727272727274,0.09610224578434738,-0.1698266926298934,0.46175428248014083,-0.27852424952911653,0.22148997055260453,0.522162604748242,0.015176326670936212,0.5030968982571061,0.02008592321478993,-0.4557446238734307,0.03786718483958113,-0.4896411119738552,0.02426025912142097,0.15606337622057653,0.49933410484586316,0.35957325998039574,0.10938735926479932
4709.Q969T3.SNX21_HUMAN.SNX21,Sorting nexin-21,0.5134463572839263,0.01728403090493137,0.5272727272727272,0.014040563252064478,0.637355433216316,0.0018853921736536573,0.5857142857142857,0.005273422501026661,0.8386113746977604,2.052937686670891e-06,0.7833494518006402,2.6737538480021486e-05,-0.21012062194931502,0.3606131734943273,-0.22127292999123838,0.33508099664792124,-0.5303812550221023,0.013384026444428088,-0.5322511018708167,0.013001246166507,-0.23814292618134192,0.2985557816267612,-0.20225995873897262,0.37926329417822147
4710.Q969T7;Q969T7-2.5NT3B_HUMAN.NT5C3B,7-methylguanosine phosphate-specific 5'-nucleotidase;Isoform 2 of 7-methylguanosine phosphate-specific 5'-nucleotidase,-0.12169616401266882,0.5992403081600675,-0.22857142857142856,0.3189673988056577,-0.12377033190236345,0.5929825594431719,-0.14805194805194805,0.5218737233561959,-0.4712867837740311,0.03103558288179516,-0.4351941398892446,0.0486395050068519,0.6662769787952222,0.0009747167009546327,0.6653138773385208,0.0009974766971938933,0.06324468917854391,0.785353552113796,0.12035453286685602,0.6033025703160485,-0.21208429352130742,0.3560382248548795,-0.26967994498529685,0.237119738409395
4711.Q969T9.WBP2_HUMAN.WBP2,WW domain-binding protein 2,-0.680507547362656,0.0006863559420944359,-0.7818181818181819,2.8403268605185375e-05,-0.6317277632441083,0.0021275344771882476,-0.6610389610389611,0.0011040228328465572,-0.7213278390592797,0.00022405194375044432,-0.7311261550139309,0.00016638967475568722,0.33628626532601164,0.1360924851663221,0.3281716765748434,0.14639981110381706,0.22110528184213687,0.3354566876853371,0.24220415309851764,0.29014308285363116,0.3000036951903002,0.18640574576019106,0.3146266024828463,0.16480515344280572
